grupo,feature,psi_val,psi_apl,status_val,status_apl
Vendas,vl_dias_menos_6_horas_max_6m_bin,0.0088,0.0387,✅ estável,✅ estável
Vendas,vl_remuneracao_variavel_max_3m,0.0034,0.0034,✅ estável,✅ estável
Vendas,vl_idade,0.0007,0.0017,✅ estável,✅ estável
Vendas,vl_filhos,0.0,0.0001,✅ estável,✅ estável
Vendas,vl_dias_menos_6_horas,0.0812,0.0608,✅ estável,✅ estável
Vendas,vl_tempo_empresa,0.0307,0.0416,✅ estável,✅ estável
Vendas,vl_remuneracao_variavel_std_3m_bin,0.0009,0.0019,✅ estável,✅ estável
Vendas,vl_horas_extras_extraordinarias_horas,1.0757,1.0611,⚠️ alerta,⚠️ alerta
Vendas,vl_distancia_trabalho_min_max_6m,0.0024,0.0036,✅ estável,✅ estável
Vendas,vl_horas_trabalhadas_std_3m,0.1659,0.7413,⚡ moderado,⚠️ alerta
Transporte,vl_idade,0.0008,0.0053,✅ estável,✅ estável
Transporte,vl_dias_menos_6_horas,0.006,0.0454,✅ estável,✅ estável
Transporte,vl_filhos,0.0002,0.0026,✅ estável,✅ estável
Transporte,vl_tempo_empresa,0.0478,0.0385,✅ estável,✅ estável
Transporte,vl_dias_menos_6_horas_std_6m,0.0087,0.0222,✅ estável,✅ estável
Transporte,vl_falta_dias_max_6m_bin,0.0252,0.9378,✅ estável,⚠️ alerta
Transporte,vl_dias_noturno_std_6m,0.0035,0.0076,✅ estável,✅ estável
Transporte,vl_tempo_empresa_std_6m,0.0072,0.0052,✅ estável,✅ estável
Transporte,vl_dias_domingo_max_6m,0.0111,0.0224,✅ estável,✅ estável
Transporte,vl_tv_vol_uorg_4m,1.0017,0.546,⚠️ alerta,⚠️ alerta
Fábrica,vl_dias_noturno_std_6m,0.0159,0.0463,✅ estável,✅ estável
Fábrica,vl_saldo_banco_horas_med_3m_std_3m,0.0406,0.458,✅ estável,⚠️ alerta
Fábrica,vl_idade,0.0019,0.0054,✅ estável,✅ estável
Fábrica,vl_filhos,0.0003,0.002,✅ estável,✅ estável
Fábrica,vl_dias_menos_6_horas_mean_6m,0.0249,0.0162,✅ estável,✅ estável
Fábrica,vl_beneficio_extra_2_max_6m,0.0062,0.011,✅ estável,✅ estável
Fábrica,vl_horas_extras_horas_mean_6m,0.0101,0.0896,✅ estável,✅ estável
Fábrica,vl_tempo_empresa,0.0849,0.1299,✅ estável,⚡ moderado
Fábrica,vl_economico_turnover_cnae_regiao_std_3m,0.9713,0.0181,⚠️ alerta,✅ estável
Fábrica,vl_beneficio_extra_10_mean_6m,0.0114,0.0218,✅ estável,✅ estável
