mes,grupo,n_total,n_alto,n_medio,n_am,pct_am,precision_am,n_verdadeiros,sal_med_am,custo_reposicao,retidos_Conservador (20%),economia_Conservador (20%),retidos_Moderado (35%),economia_Moderado (35%),retidos_Otimista (50%),economia_Otimista (50%)
2025-09-01,Vendas,2855,476,239,715,0.2504,0.281,201,1571.83,6287.33,40,251493.06,70,440112.86,100,628732.66
2025-10-01,Vendas,2894,483,241,724,0.2502,0.281,203,1598.58,6394.34,41,262167.86,71,453998.0,102,652222.48
2025-11-01,Vendas,2961,494,247,741,0.2503,0.281,208,1603.86,6415.43,42,269448.14,73,468326.54,104,667204.93
2025-12-01,Vendas,2921,488,243,731,0.2503,0.281,205,1605.43,6421.7,41,263289.82,72,462362.61,102,655013.7
2025-09-01,Transporte,4168,733,366,1099,0.2637,0.265,291,1764.1,7056.4,58,409271.12,102,719752.67,146,1030234.21
2025-10-01,Transporte,4193,737,369,1106,0.2638,0.265,293,1763.05,7052.2,59,416079.87,103,726376.73,146,1029621.38
2025-11-01,Transporte,4231,744,372,1116,0.2638,0.265,296,1798.1,7192.38,59,424350.43,104,748007.53,148,1064472.26
2025-12-01,Transporte,4200,738,370,1108,0.2638,0.265,294,1777.22,7108.9,59,419424.83,103,732216.22,147,1045007.62
2025-09-01,Fábrica,983,183,92,275,0.2798,0.325,89,2273.62,9094.49,18,163700.91,31,281929.34,44,400157.77
2025-10-01,Fábrica,997,186,93,279,0.2798,0.325,91,2275.74,9102.98,18,163853.55,32,291295.21,46,418736.86
2025-11-01,Fábrica,1009,188,94,282,0.2795,0.325,92,2256.2,9024.79,18,162446.13,32,288793.13,46,415140.12
2025-12-01,Fábrica,985,184,92,276,0.2802,0.325,90,2249.41,8997.62,18,161957.24,31,278926.35,45,404893.09
